"row_id","vehicle_id","latitude","longitude","distance_from_prev_point","worker_id"
"133","1249503","32.08843","34.80399",60,1
"136","1249503","32.08791","34.80394",58,2
"138","1249503","32.08753","34.80362",52,3
"140","1249503","32.08694","34.80454",109,4
"141","1249503","32.08686","34.80453",9,5
"148","1249503","32.08652","34.80435",41,7
"150","1249503","32.08686","34.80454",42,8
"151","1249503","32.08688","34.80448",6,6
"152","1249503","32.08693","34.80439",10,1
"153","1249503","32.08733","34.80363",84,2
"156","1249503","32.08753","34.80381",28,3
"157","1249503","32.08789","34.80409",48,4
"162","1249503","32.08831","34.80413",47,5
"163","1249503","32.08848","34.80392",27,7
"164","1249503","32.08849","34.80383",9,8
"168","1249503","32.08945","34.80155",240,1
"169","1249503","32.08947","34.80151",4,6
"175","1249503","32.09058","34.79868",294,2
"177","1249503","32.09063","34.79848",20,3
"178","1249503","32.09062","34.79842",6,4
"180","1249503","32.08972","34.79816",103,5
"182","1249503","32.08911","34.79838",71,7
"183","1249503","32.08887","34.79874",43,8
"186","1249503","32.08875","34.79907",34,1
"188","1249503","32.08868","34.79914",10,2
"190","1249503","32.08856","34.79919",14,6
"192","1249503","32.08838","34.79925",21,3
"194","1249503","32.08816","34.79926",25,4
"197","1249503","32.0874","34.79904",87,5
"203","1249503","32.08697","34.79884",51,7
"211","1249503","32.08551","34.79826",171,8
"214","1249503","32.08503","34.79808",56,1
"216","1249503","32.08497","34.79803",8,2
"217","1249503","32.08477","34.79798",23,3
"220","1249503","32.08389","34.79781",99,6
"229","1249503","32.08229","34.79775",178,4
"230","1249503","32.08198","34.79771",35,5
"234","1249503","32.08153","34.7976",51,7
"236","1249503","32.08133","34.79762",22,8
"237","1249503","32.08128","34.7976",6,1
"238","1249503","32.08123","34.79757",6,3
"242","1249503","32.08022","34.79702",124,2
"243","1249503","32.07945","34.79646",101,6
"248","1249503","32.07801","34.795",211,4
"250","1249503","32.07739","34.79425",99,5
"253","1249503","32.07422","34.79297",373,8
